segment,active_target_x_m,active_target_z_m,start_t_s,end_t_s,duration_s,sample_count,rms_error_m,max_error_m,mean_drone_power_ratio,mean_cable_support_fraction,max_thrust_fraction,max_allocation_residual_N,mean_contact_force_N,contact_valid_fraction,allocation_residual_active_fraction
1,-1.45,1.1,0.005,29.814999999998353,29.809999999998354,5963,0.029519950997289594,0.07821784850100835,0.23860125588585807,0.7263809217631485,0.597448872266381,0.12609217652108673,0.5378382571979488,0.9973167868522556,0.5752138185477109
2,1.45,1.1,29.819999999998352,83.31499999999672,53.49499999999836,10700,0.07569262445537495,0.13300975095309464,0.2700420069151994,0.6907115738826309,0.5961724101429076,0.12825873828971676,0.5400030581027111,0.9445794392523365,0.6304672897196262
3,1.45,1.52,83.31999999999671,89.55999999999104,6.239999999994325,1249,0.062974195010476,0.08975872658733816,0.40196348034163554,0.6165345246967361,0.6290237746776217,0.11208101258241299,0.536681883271754,1.0,0.500400320256205
4,-1.45,1.52,89.56499999999103,139.9849999999452,50.41999999995416,10085,0.0600560875231303,0.10621792733945906,0.30115303593386417,0.679139832028152,0.6570732607733474,0.12795185461989939,0.5394204813530057,1.0,0.6079325731284085
5,-1.45,1.94,139.98999999994518,147.4549999999384,7.464999999993211,1494,0.07952347395732387,0.10282021807050744,0.49490844887102514,0.6147511735887168,0.768623373775967,0.09044504784234554,0.5398697057549253,1.0,0.6726907630522089
6,1.45,1.94,147.4599999999384,201.6549999998891,54.19499999995071,10840,0.0777292641990554,0.13090112227940723,0.36368513628186006,0.6593389385151049,0.7583231812453005,0.12933208206628946,0.5399356245605427,0.8924354243542435,0.6136531365313653
7,1.45,2.36,201.6599999998891,209.98499999988152,8.324999999992428,1666,0.07308035487315569,0.10129107287509297,0.5521936898126822,0.5667938146752015,0.8043429227798148,0.07351421822350908,0.5394414406558573,1.0,0.7064825930372148
8,-1.45,2.36,209.98999999988152,264.9949999998315,55.00499999995,11002,0.0630985663830028,0.11221522805896403,0.44523220633137633,0.614364394874978,0.8102297001941439,0.13189717081208838,0.5394752246024153,1.0,0.7767678603890201
9,-1.45,2.78,264.9999999998315,273.0499999998242,8.049999999992679,1611,0.07845588829532615,0.09768350641904475,0.6835880803084878,0.44040113777480877,0.8685003306149269,0.06455456246528248,0.5401825831198153,1.0,0.4792054624456859
10,1.45,2.78,273.0549999998242,324.954999999777,51.8999999999528,10381,0.08131279356489755,0.1402194424352988,0.538811751240415,0.524165641446208,0.9809693512770858,0.13429084730719984,0.5394147186240617,0.8829592524804932,0.39630093439938346
11,1.45,3.2,324.959999999777,330.5399999997719,5.579999999994925,1117,0.0787624072512469,0.10143525199669842,0.7844802846909427,0.28473658034261146,1.0,0.11290437895434405,0.542677377035194,1.0,0.297224709042077
12,-1.45,3.2,330.5449999997719,363.16499999974224,32.61999999997033,6525,0.05563523610478457,0.10329756582513412,0.6474805866146078,0.39939658767549663,1.0,0.27184987777664776,0.539251807242693,1.0,0.2720306513409962
13,0.0,2.0,363.16999999974223,392.94999999971515,29.779999999972915,5957,0.0917885590333636,0.14538077237218275,0.31039935030584576,0.6817627100849054,0.9667637698091681,0.11634040557106572,0.5394313609282763,0.7851267416484807,0.3847574282356891
